,Брест,Вильнюс,Витебск,Волгоград,Воронеж,Даугавпилс,Донецк,Житомир,Казань,Калининград,Каунас,Киев,Кишинев,Минск,Москва,Мурманск,Ниж.Новгород,Одесса,Орел,Рига,С.Петербург,Самара,Симферополь,Таллинн,Уфа,Харьков,Ярославль
Брест,,531,638,,,,,,,699,,,,,,,,,,,,,,,,,
Вильнюс,531,,360,,,211,,,,333,102,734,,,,,,,,,,,,,,,
Витебск,638,360,,1455,869,,,,,,,,,,,,911,,522,,602,,,,,,
Волгоград,,,1455,,581,,,1493,,,,,,,,,,,,,,,,,,,
Воронеж,,,869,581,,,,,,,,,,,,,,,,,,,,,,,739
Даугавпилс,,211,,,,,863,,,,,812,,1084,,,,709,,,,,,,,,
Донецк,,,,,,,,,,,,,,,,,,,,,,,,,,,
Житомир,,,,1493,,,863,,,,,131,,,,,,,,,,,,,,,
Казань,,,,,,,,,,,,,,,815,,,,,,,,,,525,,
Калининград,699,333,,,,,,,,,,,,,,,,,,,739,,,,,,
Каунас,,102,,,,,,,,,,,,,,,,,,267,,,,,,,
Киев,,734,,,,,,131,,,,,467,,,,,487,,,,,,,,471,
Кишинев,,,,,,,812,,,,,467,,,,,,,,,,,,,,,
Минск,,,,,,,,,,,,,,,690,2238,,,,,,,,,,,940
Москва,,,,,,,1084,,815,,,,,690,,,411,,368,,664,,,,,,
Мурманск,,,,,,,,,,,,,,2238,,,,,,,1412,,,,,,
Ниж.Новгород,,,911,,,,,,,,,,,,411,,,,,,,,,,,,
Одесса,,,,,,,,,,,,487,,,,,,,,,,,,,,,
Орел,,,522,,,,709,,,,,,,,368,,,,,,,,,,,,
Рига,,,,,,,,,,,267,,,,,,,,,,641,,,308,,,
С.Петербург,,,602,,,,,,,739,,,,,664,1412,,,,641,,,,,,,
Самара,,,,,,,,,,,,,,,,,,,,,,,,,461,,
Симферополь,,,,,,,,,,,,,,,,,,,,,,,,,,639,
Таллинн,,,,,,,,,,,,,,,,,,,,308,,,,,,,
Уфа,,,,,,,,,525,,,,,,,,,,,,,461,,,,,
Харьков,,,,,,,,,,,,471,,,,,,,,,,,639,,,,
Ярославль,,,,,739,,,,,,,,,940,,,,,,,,,,,,,
